GMT;TIME;WSPE [m/s];WDIR [deg];HUMI [%];PRES [hPa];TEMP [°C];PM10 [ug/m3];PM25 [ug/m3];PM01 [ug/m3];O3 [ug/m3];SO2 [ug/m3];NO [ug/m3];NO2 [ug/m3];CO [ug/m3]
2023-11-01T01:00;01.11.2023 1:00;0.7;192;99;1010;8.9;9;;;39.6;5.5;2.5;8;100
2023-11-01T02:00;01.11.2023 2:00;0.7;187;99;1010;8.8;7;;;39.9;5.5;2.5;4;100
2023-11-01T03:00;01.11.2023 3:00;0.6;192;99;1011;8.5;6;;;37.8;5.5;2.5;8.4;100
2023-11-01T04:00;01.11.2023 4:00;0.5;197;99;1011;8.4;7;;;36.1;5.5;2.5;9.1;100
2023-11-01T05:00;01.11.2023 5:00;0.7;194;99;1011;8.4;9;;;34.3;5.5;2.5;10.6;100
2023-11-01T06:00;01.11.2023 6:00;0.8;197;99;1012;7.9;7;;;30.3;5.5;2.5;14.7;100
2023-11-01T07:00;01.11.2023 7:00;0.6;188;99;1012;8;18;;;28.1;5.5;2.5;17.6;100
2023-11-01T08:00;01.11.2023 8:00;0.5;185;97;1013;9.3;13;;;30.3;5.5;2.5;17.1;208.2
2023-11-01T09:00;01.11.2023 9:00;0.7;192;84;1013;11.9;14;;;41.5;5.5;2.5;12.4;100
2023-11-01T10:00;01.11.2023 10:00;0.9;199;81;1013;12.3;10;;;46.1;5.5;2.5;9.3;100
2023-11-01T11:00;01.11.2023 11:00;1;184;81;1012;12.3;10;;;51.3;5.5;2.5;4;100
2023-11-01T12:00;01.11.2023 12:00;0.9;184;76;1012;13.5;8;;;54.7;5.5;2.5;4;100
2023-11-01T13:00;01.11.2023 13:00;0.9;185;73;1011;13.9;9;;;56.8;5.5;2.5;4;100
2023-11-01T14:00;01.11.2023 14:00;0.7;169;73;1011;14;10;;;53.9;5.5;2.5;9.3;100
2023-11-01T15:00;01.11.2023 15:00;0.6;171;75;1010;13.4;10;;;45.1;5.5;2.5;16.9;100
2023-11-01T16:00;01.11.2023 16:00;0.5;174;78;1010;12.4;7;;;43.9;5.5;2.5;17.3;100
2023-11-01T17:00;01.11.2023 17:00;0.3;178;86;1010;10.7;11;;;36.8;5.5;2.5;22;226.1
2023-11-01T18:00;01.11.2023 18:00;0.1;210;96;1010;8.7;11;;;27.4;5.5;2.5;29.6;262.3
2023-11-01T19:00;01.11.2023 19:00;0.1;140;99;1009;7.5;18;;;5;5.5;5.1;44.3;350.7
2023-11-01T20:00;01.11.2023 20:00;0.1;163;99;1009;6.7;32;;;5;5.5;8.7;46.8;394.2
2023-11-01T21:00;01.11.2023 21:00;0.2;133;99;1009;6.2;25;;;5;5.5;32.7;37.5;485.5
2023-11-01T22:00;01.11.2023 22:00;0.2;122;99;1008;5.5;31;;;5;5.5;49.6;33.2;527.8
2023-11-01T23:00;01.11.2023 23:00;0.1;132;99;1008;5.1;26;;;5;5.5;29.5;27.6;535.7
2023-11-02T00:00;02.11.2023 0:00;0.1;153;99;1007;4.7;26;;;5;5.5;23.2;26.4;530.7
2023-11-02T01:00;02.11.2023 1:00;0.1;150;99;1006;4.2;21;;;5;5.5;16.9;23;510.5
2023-11-02T02:00;02.11.2023 2:00;0.1;167;99;1006;4.1;23;;;5;5.5;13.8;19.7;498.1
2023-11-02T03:00;02.11.2023 3:00;0.1;91;99;1005;4.8;24;;;5;5.5;13.4;19.1;485
2023-11-02T04:00;02.11.2023 4:00;0.1;270;99;1004;5.5;29;;;5;5.5;21.6;24.5;461.9
2023-11-02T05:00;02.11.2023 5:00;0.1;175;99;1003;5.5;26;;;5;5.5;43.5;27.2;484.6
2023-11-02T06:00;02.11.2023 6:00;0;153;99;1002;5.7;26;;;5;5.5;42.1;30.4;495.1
2023-11-02T07:00;02.11.2023 7:00;0.1;84;99;1002;6.2;34;;;5;5.5;57.3;31.4;572.6
2023-11-02T08:00;02.11.2023 8:00;0.2;75;99;1001;8.5;50;;;5;5.5;87.2;41.6;641.4
2023-11-02T09:00;02.11.2023 9:00;0.5;133;70;1001;15;41;;;30.8;5.5;17.7;36.8;253.7
2023-11-02T10:00;02.11.2023 10:00;1.4;177;60;1000;16;3;;;60.2;5.5;2.5;14.8;100
2023-11-02T11:00;02.11.2023 11:00;1.9;169;59;999;16;7;;;69.8;5.5;2.5;4;100
2023-11-02T12:00;02.11.2023 12:00;2;160;56;997;16.8;5;;;71.5;5.5;2.5;4;100
2023-11-02T13:00;02.11.2023 13:00;1.7;169;54;996;16.9;9;;;71.9;5.5;2.5;9.3;100
2023-11-02T14:00;02.11.2023 14:00;1.5;168;54;996;16.8;7;;;70.6;5.5;2.5;10.6;100
2023-11-02T15:00;02.11.2023 15:00;1.7;173;55;995;16.5;8;;;72.7;5.5;2.5;10.1;100
2023-11-02T16:00;02.11.2023 16:00;1.4;159;58;994;15.9;11;;;68.6;5.5;2.5;12.1;100
